2026-08-18T01:30:13Z model=Qwen3-4B row=93 status=invalid_label latency=27.962s pt=161 ct=2978 gpu_power=145.0W vram=1603MiB err=''
2026-08-18T01:30:38Z model=Qwen3-4B row=94 status=invalid_label latency=24.603s pt=153 ct=2610 gpu_power=145.0W vram=1603MiB err=''
2026-08-18T01:30:56Z model=Qwen3-4B row=95 status=invalid_label latency=17.680s pt=159 ct=1835 gpu_power=145.0W vram=1603MiB err=''
2026-08-18T01:31:24Z model=Qwen3-4B row=96 status=invalid_label latency=28.530s pt=170 ct=3054 gpu_power=145.1W vram=1603MiB err=''
2026-08-18T01:31:46Z model=Qwen3-4B row=97 status=invalid_label latency=21.099s pt=153 ct=2218 gpu_power=145.1W vram=1603MiB err=''
2026-08-18T01:32:20Z model=Qwen3-4B row=98 status=invalid_label latency=33.975s pt=161 ct=3654 gpu_power=145.0W vram=1603MiB err=''
2026-08-18T01:32:39Z model=Qwen3-4B row=99 status=invalid_label latency=19.596s pt=170 ct=2052 gpu_power=145.0W vram=1603MiB err=''
2026-08-18T01:33:08Z model=Qwen3-4B row=100 status=invalid_label latency=29.013s pt=167 ct=3101 gpu_power=145.0W vram=1603MiB err=''
2026-08-18T01:33:31Z model=Qwen3-4B row=101 status=invalid_label latency=22.137s pt=154 ct=2332 gpu_power=145.0W vram=1603MiB err=''
2026-08-18T01:33:55Z model=Qwen3-4B row=102 status=ok latency=24.729s pt=175 ct=2618 gpu_power=144.9W vram=1603MiB err=''
2026-08-18T01:34:28Z model=Qwen3-4B row=103 status=invalid_label latency=32.546s pt=167 ct=3494 gpu_power=145.0W vram=1603MiB err=''
2026-08-18T01:34:44Z model=Qwen3-4B row=104 status=invalid_label latency=15.737s pt=166 ct=1621 gpu_power=145.1W vram=1603MiB err=''
2026-08-18T01:35:09Z model=Qwen3-4B row=105 status=ok latency=25.398s pt=153 ct=2700 gpu_power=145.0W vram=1603MiB err=''
2026-08-18T01:35:43Z model=Qwen3-4B row=106 status=invalid_label latency=33.311s pt=188 ct=3576 gpu_power=145.0W vram=1603MiB err=''
